,Depth,Longitude,Latitude,Temperature,Salinity,Density
501,25.0,70.5,6.5,28.617191,35.02659,22.308197
502,25.0,70.5,7.5,28.652609,35.12151,22.373978
503,25.0,70.5,8.5,28.65,35.2942,22.5122
504,25.0,70.5,9.5,28.60709,35.5329,22.710854
505,25.0,70.5,10.5,28.52119,35.79789,22.938519
506,25.0,70.5,11.5,28.39301,36.03051,23.151182
507,25.0,70.5,12.5,28.23091,36.179512,23.312878
508,25.0,70.5,13.5,28.04731,36.2412,23.421024
509,25.0,70.5,14.5,27.857391,36.2442,23.491156
510,25.0,71.5,5.5,28.477991,34.81831,22.206448
511,25.0,71.5,6.5,28.54579,34.77471,22.148787
512,25.0,71.5,7.5,28.5982,34.79771,22.153515
513,25.0,71.5,8.5,28.6307,34.91309,22.241547
514,25.0,71.5,9.5,28.63481,35.127487,22.415741
515,25.0,71.5,10.5,28.59831,35.4077,22.6478
516,25.0,71.5,11.5,28.51561,35.682487,22.882597
517,25.0,71.5,12.5,28.39489,35.880188,23.067703
518,25.0,71.5,13.5,28.25279,35.978287,23.187248
519,25.0,71.5,14.5,28.11449,36.0088,23.256447
520,25.0,72.5,5.5,28.40109,34.65609,22.112696
521,25.0,72.5,6.5,28.447,34.52889,21.99925
522,25.0,72.5,7.5,28.50261,34.45919,21.935038
523,25.0,72.5,8.5,28.567791,34.48779,21.954866
524,25.0,72.5,9.5,28.62409,34.644512,22.081547
525,25.0,72.5,10.5,28.64161,34.91219,22.30063
526,25.0,72.5,11.5,28.60631,35.2026,22.545507
527,25.0,72.5,12.5,28.529509,35.4463,22.757158
528,25.0,72.5,13.5,28.42929,35.60859,22.909616
529,25.0,72.5,14.5,28.36269,35.7093,22.998562
530,25.0,73.5,5.5,28.32259,34.56351,22.06104
531,25.0,73.5,6.5,28.34051,34.34981,21.893736
532,25.0,73.5,7.5,28.39339,34.1726,21.755487
533,25.0,73.5,8.5,28.49041,34.082413,21.68731
534,25.0,73.5,9.5,28.60589,34.13451,21.73192
535,25.0,73.5,10.5,28.67621,34.364613,21.924044
536,25.0,73.5,11.5,28.67719,34.618187,22.154133
537,25.0,73.5,12.5,28.64419,34.892387,22.394327
538,25.0,73.5,13.5,28.55111,35.138813,22.609035
539,25.0,73.5,14.5,28.58879,35.4249,22.78705
540,25.0,74.5,5.5,28.2418,34.544487,22.056797
541,25.0,74.5,6.5,28.23599,34.24861,21.840113
